,lon,lat,capacity_MW,state,type
452,75.688,15.380,2.53,Karnataka,Wind
453,75.638,15.432,3.0,Karnataka,Wind
454,75.638,15.432,1.35,Karnataka,Wind
455,75.638,15.432,30.0,Karnataka,Wind
456,75.638,15.432,5.0,Karnataka,Wind
457,75.638,15.432,5.0,Karnataka,Wind
458,75.638,15.432,0.675,Karnataka,Wind
459,75.638,15.432,2.53,Karnataka,Wind
460,75.978,12.838,1.5,Karnataka,Wind
461,77.342,16.206,50.0,Karnataka,Wind
462,75.41207885742188,14.144257545471191,22.8,Karnataka,Wind
463,79.36282348632812,22.351898193359375,12.0,Madhya Pradesh,Wind
464,76.184,15.752,69.3,Karnataka,Wind
465,76.627,16.119,40.0,Karnataka,Wind
466,75.586,15.385,34.4,Karnataka,Wind
467,75.715,16.833,15.0,Karnataka,Wind
468,75.715,16.833,46.0,Karnataka,Wind
469,75.715,16.833,15.0,Karnataka,Wind
470,77.82705688476562,12.728028297424316,6.6,Tamil Nadu,Wind
471,77.051,12.556,3.0,Karnataka,Wind
472,75.379,15.732,7.2,Karnataka,Wind
473,76.529,15.970,6.0,Karnataka,Wind
474,76.119,13.949,2.0,Karnataka,Wind
475,74.485,15.855,64.6,Karnataka,Wind
476,75.732,15.610,40.0,Karnataka,Wind
477,74.52368,15.85787,60.0,Karnataka,Wind
478,75.042,16.031,60.0,Karnataka,Wind
479,75.217,15.865,82.4,Karnataka,Wind
480,88.27975,27.16635,100.3,Sikkim,Wind
481,75.919,14.454,106.25,Karnataka,Wind
482,75.247,15.147,50.4,Karnataka,Wind
483,75.008,15.461,44.0,Karnataka,Wind
484,74.52368,15.85787,100.0,Karnataka,Wind
485,75.862,14.655,23.1,Karnataka,Wind
486,79.36282348632812,22.351898193359375,4.95,Madhya Pradesh,Wind
487,76.39545,14.22425,68.8,Karnataka,Wind
488,76.030,13.910,56.1,Karnataka,Wind
489,79.36282348632812,22.351898193359375,2.55,Madhya Pradesh,Wind
490,75.894,16.817,50.0,Karnataka,Wind
491,75.894,16.817,50.0,Karnataka,Wind
492,75.587,15.267,25.5,Karnataka,Wind
493,75.587,15.267,1.7,Karnataka,Wind
494,75.587,15.267,28.9,Karnataka,Wind
495,75.587,15.267,15.3,Karnataka,Wind
496,76.844,8.625,18.0,Kerala,Wind
497,76.733,10.796,22.0,Kerala,Wind
498,77.226,9.802,25.0,Kerala,Wind
499,76.020,23.717,100.0,Madhya Pradesh,Wind
500,75.036,23.333,50.0,Madhya Pradesh,Wind
501,75.036,23.333,66.0,Madhya Pradesh,Wind
502,75.036,23.333,52.0,Madhya Pradesh,Wind
503,75.231,23.021,100.0,Madhya Pradesh,Wind
504,75.389,23.545,50.0,Madhya Pradesh,Wind
